id,date,city,state,type,ideology,subideology,group,description,image
68246,11/10/2024,Minneapolis,MN,Antisemitic Incident:Harassment,,,,A Jewish student at the University of Minnesota was harassed by an individual who told the student to stop supporting Israel or they will kill them.,
68247,11/10/2024,Staten Island,NY,Antisemitic Incident:Assault,,,,Two individuals on a scooter intentionally knocked off a Jewish pedestrian's yarmulke.,
68248,11/10/2024,Eugene,OR,Antisemitic Incident:Vandalism,,,,"A Jewish student's photo hanging on their dorm room door at the University of Oregon was vandalized with a swastika and a yellow ribbon placed on the door to raise awareness for kidnapping victims of the October 7, 2023, Hamas attack was torn down.",
68249,11/10/2024,Blue Bell,PA,Antisemitic Incident:Harassment,,,,A homeowner flew a Nazi flag on their property.,
68234,11/9/2024,Atlanta,GA,Antisemitic Incident:Harassment,,,,"A group of teenagers approached a group of visibly Jewish middle school students at a shopping center, asked if they were Jewish and performed Nazi salutes.",
68235,11/9/2024,Auburn,MA,White Supremacist Event,Right Wing (White Supremacist),,Patriot Front (PF),"Approximately nine individuals associated with Patriot Front, a white supremacist group, held a meetup and training event.",
68236,11/9/2024,Ann Arbor,MI,Antisemitic Incident:Harassment,,,,Individuals associated with the antisemitic and anti-Israel group Witness for Peace protested outside a synagogue during Shabbat services.,
68237,11/9/2024,Howell Township,MI,Antisemitic Incident:Harassment;White Supremacist Event,,,Greater 88 Collective,"Approximately five individuals associated with the Greater 88 Collective, a small regional neo-Nazi group, held an antisemitic protest outside of a play on ""The Diary of Anne Frank.""",
68238,11/9/2024,Teaneck,NJ,Antisemitic Incident:Harassment,,,,"An individual in a passing car yelled, ""Fuck Jews"" out their window at children playing outside a synagogue.",
68239,11/9/2024,White Plains,NY,White Supremacist Event,Right Wing (White Supremacist),,"Atlantic Nationalist Club,Sugar Tree Legion (STL)","Approximately nine individuals associated with the white supremacist groups Sugar Tree Legion and Atlantic Nationalist Club held an anti-immigration rally. Masked individuals carried a large banner that read: ""Invaders Go Home."" The group chanted, ""The Rest Must Go, New York is Ours"" and ""One People, One Nation, End Immigration.""",
68240,11/9/2024,Beachwood,OH,Antisemitic Incident:Harassment,,,,"An individual in a passing car yelled, ""You fucking Jews, free Palestine!"" at two children walking home from synagogue.",
68241,11/9/2024,Warwick,RI,White Supremacist Event,Right Wing (White Supremacist),,Patriot Front (PF),"Approximately six individuals associated with Patriot Front, a white supremacist group, dropped a banner from an overpass that read: ""Victory or Death,"" and advertised the group’s website.",
68242,11/9/2024,Austin,TX,Antisemitic Incident:Vandalism,,,,A swastika was spray-painted on the street in front of a home.,
68243,11/9/2024,Washington,DC,Antisemitic Incident:Vandalism,,,,The window at a Jewish-owned kosher restaurant was smashed.,
68222,11/8/2024,Wasilla,AK,Antisemitic Incident:Vandalism,,,,Multiple swastikas were spray-painted on the front of a pregnancy crisis center.,
68223,11/8/2024,Los Angeles,CA,Antisemitic Incident:Harassment,,,,"A Jewish non-profit organization received a phone call threatening to ""shoot Jews.""",
